title,topic,url,length - min,length - sec,codename
L'épicerie | Les herbes salées du Bas-Saint-Laurent,food,https://www.youtube.com/watch?v=KZB9uYgZ3GU,6,7,vid1
La facture | Immobilier : une bonne idée de dévoiler le contenu des offres d’achat?,economics,https://www.youtube.com/watch?v=AQdtrcyIV8g,9,40,vid2
La semaine verte | La COVID de la tomate,agriculture,https://www.youtube.com/watch?v=1TmZG5uAKXQ,13,14,vid3
Découverte | La mission Artemis expliquée par David Saint-Jacques,science,https://www.youtube.com/watch?v=GqGu931tENU,12,24,vid4
La semaine verte | Sécher le maïs autrement,agriculture,https://www.youtube.com/watch?v=xeQOtAEKZWk,12,54,vid5
Découverte | Que faire de nos déchets?,engineering,https://www.youtube.com/watch?v=ppegmRdHjfs&list=PLZr1y64TPtN8rC4wbxHVgSeIKMaFflPwU&index=58,37,17,vid6
La semaine verte | Le ciseau génétique CRISPR en agriculture,science,https://www.youtube.com/watch?v=FFffjKuDhzs&list=PLZr1y64TPtN8xO8UCqv8wmFE-SjY6XzeC&index=37,12,46,vid7
L'épicerie | Les mécanismes de l’hydratation et de la déshydratation,health,https://www.youtube.com/watch?v=GFsgYUBbq4c&list=PLZr1y64TPtN-v1mZ-x4jdwqquDYKHLDA3&index=25,7,33,vid11
À la découverte du sucre à la crème - L'épicerie,food,https://www.youtube.com/watch?v=DozIzZcjVbI&list=PLZr1y64TPtN-v1mZ-x4jdwqquDYKHLDA3&index=254,5,38,vid13
Découverte | La révolution tranquille d’Hydro-Québec,engineering,https://www.youtube.com/watch?v=oQxMsVqrq9w&list=PLZr1y64TPtN8rC4wbxHVgSeIKMaFflPwU&index=143,12,9,vid14
L'épicerie | L’évolution des produits du terroir,culture,https://www.youtube.com/watch?v=0tX4jPmv_b4&list=PLZr1y64TPtN-v1mZ-x4jdwqquDYKHLDA3&index=22,7,52,vid15
L'épicerie | Pourquoi a-t-on si peu accès à nos produits de la mer?,culture,https://www.youtube.com/watch?v=aT2V8v8g2RE&list=PLZr1y64TPtN-v1mZ-x4jdwqquDYKHLDA3&index=46,9,6,vid16
